step,vehicles,avg_speed,avg_waiting,queue_length,signal_phase
227,122,10.803104969023963,0.4098360655737705,6,0
228,122,11.076170602652933,0.2459016393442623,5,0
229,122,11.502626256487314,0.16393442622950818,3,0
230,123,11.710318399090019,0.08943089430894309,2,0
231,123,11.691826808918082,0.0975609756097561,2,0
232,123,11.655270330667879,0.11382113821138211,3,0
233,124,11.574483456741177,0.14516129032258066,5,0
234,124,11.453881141091015,0.16129032258064516,5,0
235,125,11.466813005888374,0.208,7,0
236,125,11.50904346162759,0.264,8,0
237,126,11.61516148896017,0.23015873015873015,5,0
238,126,11.888737293099773,0.2619047619047619,5,0
239,125,12.004571856778817,0.264,5,0
240,126,11.987213912381229,0.30158730158730157,6,0
241,126,12.106642912933012,0.3412698412698413,6,0
242,127,12.131963453780534,0.3779527559055118,6,0
243,126,11.99821105779067,0.42063492063492064,5,0
244,127,11.746518344013326,0.4566929133858268,7,0
245,126,11.573647599178932,0.5079365079365079,7,0
246,126,11.36863196062905,0.5555555555555556,7,0
247,126,11.162658728934971,0.5793650793650794,6,0
248,127,11.3317629627047,0.6141732283464567,6,0
249,128,11.369487381199482,0.6640625,8,0
250,128,11.234588943234147,0.71875,8,0
251,127,10.810454764146973,0.7637795275590551,8,0
252,126,10.763605616658875,0.8412698412698413,10,0
253,125,10.55365386551993,0.92,10,0
254,126,10.222929955393953,0.9841269841269841,10,0
255,125,9.871510428889328,1.064,10,0
256,126,9.794707062888763,1.0873015873015872,10,0
257,126,9.71965548558184,0.9047619047619048,10,0
258,126,9.893059072176156,0.7063492063492064,7,0
259,126,10.0347747662697,0.4126984126984127,5,0
260,125,10.329685144278978,0.272,4,0
261,126,10.752891747271592,0.11904761904761904,3,0
262,123,10.996002514143315,0.04878048780487805,2,0
263,123,11.60979403079681,0.008130081300813009,2,0
264,122,11.559586829460995,0.0,1,0
265,122,11.62170968243804,0.00819672131147541,1,0
266,119,11.84964334510404,0.0,0,0
267,120,11.808642554326891,0.008333333333333333,2,0
268,121,11.645483702093427,0.008264462809917356,3,0
269,122,11.51592365313,0.02459016393442623,3,0
270,122,11.342143919474859,0.01639344262295082,2,0
271,122,11.057380996331606,0.02459016393442623,3,0
272,122,10.848512038356255,0.040983606557377046,3,0
273,122,10.610107426125825,0.07377049180327869,5,0
274,120,10.57535370738439,0.10833333333333334,4,0
275,119,10.603245871168149,0.14285714285714285,6,0
276,120,10.525067387994458,0.19166666666666668,7,0
277,121,10.488682637462754,0.24793388429752067,8,0
278,119,10.381015662949672,0.31932773109243695,9,0
279,120,10.18252914893646,0.38333333333333336,9,0
280,120,10.029216456733643,0.4166666666666667,8,0
281,120,10.060015781891401,0.375,8,0
282,120,10.109840250940861,0.35833333333333334,8,0
283,118,10.173886232546149,0.2711864406779661,5,0
284,119,10.25344292023454,0.21008403361344538,5,0
285,119,10.422407179730943,0.15126050420168066,6,0
286,120,10.419801856666291,0.125,5,0
287,120,10.614883299644497,0.15,4,0
288,120,10.796334410552815,0.14166666666666666,3,0
289,118,10.982246793506025,0.0423728813559322,1,0
290,119,11.04455251134462,0.05042016806722689,2,0
291,119,10.890608327712638,0.058823529411764705,3,0
292,120,10.923116051751514,0.06666666666666667,2,0
293,118,11.098147340262782,0.07627118644067797,2,0
294,118,11.460173774741364,0.0847457627118644,2,0
295,119,11.747432065687622,0.09243697478991597,2,0
296,119,11.974489331100253,0.10084033613445378,2,0
297,118,12.277733599723227,0.11016949152542373,1,0
298,119,12.347571269323266,0.11764705882352941,2,0
299,118,12.398104354355704,0.13559322033898305,3,0
300,120,12.279933983108695,0.13333333333333333,3,0
301,121,12.150040015302984,0.14049586776859505,2,0
302,120,11.913666919836878,0.15833333333333333,3,0
303,121,11.682416060843735,0.17355371900826447,3,0
304,121,11.682925021890183,0.024793388429752067,2,0
305,121,11.455545399817373,0.04132231404958678,3,0
306,121,11.56342217825085,0.06611570247933884,4,0
307,122,11.791687808278024,0.09836065573770492,5,0
308,123,12.047057697849656,0.11382113821138211,5,0
309,122,12.43381210909187,0.10655737704918032,2,0
310,122,12.57571640806266,0.12295081967213115,3,0
311,123,12.802292593668163,0.13821138211382114,3,0
312,124,12.837967333969113,0.1532258064516129,3,0
313,124,12.660083914811601,0.1693548387096774,3,0
